id,title,company_name,job_description_url,location,job_type,hiring_manager_name,hiring_manager_position,hiring_manager_linkedin,manager_auto_detect
50452,Regulatory Compliance Manager - Investigational New Drug Office,Memorial Sloan Kettering,http://careers.mskcc.org/job/8244014/regulatory-compliance-manager-investigational-new-drug-office-new-york-ny/?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,"New York, NY",Compliance,,,,
53100,Corporate Compliance - Equities Compliance Officer - Vice President,JP Morgan Chase,http://jobs.jpmorganchase.com/ShowJob/Id/125906/Corporate%20Compliance%20%20%20Equities%20Compliance%20Officer%20%20%20Vice%20President,"New York, NY",Compliance,,,,
54836,"Vice President, Policy & Project Manager, State & Local Government Relations",JP Morgan Chase,"http://jobs.jpmorganchase.com/ShowJob/Id/126495/Vice%20President,%20Policy%20%20%20Project%20Manager,%20State%20%20%20Local%20Government%20Relations","New York, NY",Compliance,,,,
57313,Research Regulatory Assistant,NYU School of Medicine Perlmutter CancerCtr (S580),http://jobs.nyulangone.org/job/8246918/,"New York, NY",Compliance,Grace Rose Langan,Senior Director Regulatory Affairs,https://www.linkedin.com/in/grace-rose-langan-0491aa12/,Reporting to the Senior Manager of Regulatory Affa
52801,Sr Compliance Officer â Enterprise Compliance Program,Charles Schwab,http://schwabjobs.com/ShowJob/Id/1598312/Sr%20Compliance%20Officer%20%e2%80%93%20Enterprise%20Compliance%20Program,"New York, NY",Compliance,,,,
46797,Aviation Training and Compliance Manager,Command Security Corporation,https://careers-commandsecurity.icims.com/jobs/3896/aviation-training-and-compliance-manager/job?in_iframe=1&mode=job&iis=Job+Board&iisn=Indeed,"New York, NY",Compliance,,,,
54274,"Extern, Compliance Consulting","DUFF AND PHELPS, LLC",https://careers.duffandphelps.jobs/job/-/-/400/7928776?source=Indeed,"New York, NY",Compliance,,,,
55060,Senior Complex Risk Officer,Morgan Stanley,https://ms.taleo.net:443/careersection/2/jobdetail.ftl?job=3110338&lang=en&src=JB-10147,"New York, NY",Compliance,Ben Firestein,Complex Manager,https://www.linkedin.com/in/ben-firestein-1928711b/,reporting to the Complex manager and Regional Risk
57352,Futures Compliance Officer,Morgan Stanley,https://ms.taleo.net:443/careersection/2/jobdetail.ftl?job=3110796&lang=en&src=JB-10147,"New York, NY",Compliance,,,,
52251,"GFCC, Insider Abuse Investigator",PayPal,https://paypal.wd1.myworkdayjobs.com/en-US/jobs/job/New-York/GFCC--Insider-Abuse-Investigator_R0026058-1?source=JobBoardIndeed-Organic,"New York, NY",Compliance,,,,reports to share investigative findings and recomm
58423,Senior Director Level â Corporate Compliance,Pfizer,https://pfizer.wd1.myworkdayjobs.com/en-US/PfizerCareers/job/United-States---New-York---New-York-City/Senior-Director-Level---Corporate-Compliance_4700582-1?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,"New York, NY",Compliance,,,,
56863,Quality and Regulatory Compliance Associate,Clinilabs,https://www.clinilabs.com/job-position/quality-and-regulatory-compliance-associate/,"New York, NY",Compliance,,,,
55863,VP-Security Risk Assessment & Architecture,Moody's Shared Services,https://www.moodys.jobs/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25546&siteid=5212&PageType=JobDetails&jobid=1145453&codes=INTN-Z8,"New York, NY",Compliance,,,,
50651,Systems Accountant,ActivateUTS,https://activateuts.com.au/__data/assets/pdf_file/0031/357349/0418_Systems_Accountant.pdf,Sydney,Finance,,,,"Reporting to the CFO, This position is responsible"
57978,Accounts Receivable Specialist - Sydney,Qualtrics,https://boards.greenhouse.io/qualtrics/jobs/881672?gh_src=h53nmk1,Sydney,Finance,,,,
49471,Customer Due Diligence- Production Support Analyst,HSBC,https://hsbc.taleo.net/careersection/external/jobdetail.ftl?job=579763&lang=en_GB,Sydney,Finance,,,,Reporting to the Global Banking &amp; Markets (GBM
51353,Regional Finance Manager,Lendlease,https://lendlease.wd3.myworkdayjobs.com/en-US/LendleaseCareers/job/Sydney-CBD/Regional-Finance-Manager_REQ-7018449-1?source=Indeed,Sydney,Finance,,,,
52252,Senior Commercial Analyst,Mamamia,https://mamamia.prevueapspro.com/jobs/7892-2637.html,Sydney,Finance,,,,"Reporting to the Head of Finance and Operations, y"
52286,Director Financial Control BTFG,BT Financial Group,https://westpac.taleo.net/careersection/westpacgroup/jobdetail.ftl?job=SYD47627&tz=GMT-05:00&src=JB-12080,Sydney,Finance,Yvonne Le Bas,CFO,https://www.linkedin.com/in/yvonne-le-bas-95a8a83b/,reporting to BT CFO and BT SMT. This role oversees
49303,Assistant Vice President - Analyst (Structured Finance Group),Moody's,https://www.efinancialcareers.com.au/jobs-Australia-Sydney-Assistant_Vice_President_-_Analyst_Structured_Finance_Group.id03281972?utm_campaign=JS_CAREERJET_AU&utm_source=APAC_AU_ENG&utm_medium=PD_AG_CAREERJET,Sydney,Finance,,,,
